,Apparel & Footwear,Bank Charges & Fees,Beauty & Cosmetic Products,Books & Stationery,Broadband & Internet,Cafes & Beverages,Cashback,Dairy&Bakery,Diagnostics & Labs,Donations & Charity,Drinks,Drinks & Liquor,E-Commerce Marketplaces,E-commerce Marketplaces,Electrical Goods & Appliances,Electricity & Energy,Electricity Bill Payment,Electronics & Appliances,Entertainment Store,FASTag & Toll,Fitness & Wellness,Flights,Food Delivery,Fuel,Gaming,General Retail Stores,Google Play Subscription,Groceries & Daily Needs,Groceries&Daily Needs,Grocesries&Daily Needs,Hobbies & Clubs,Hospital Services,Hostel & Stays,Hostel/Mess Fees,Hotels & Stays,Ice Cream Parlour,Insurance-Non Health,Investments,Investments/Financial Services,Jewelry & Accessories,Kirana Shops,Loan Emi-Non Home,Loan-Emi-Non Home,Local Travel Services,Logistics & Courier Services,Logistics & Delivery Services,Maintenance & Repairs,Medical Supplies,Medical Supplies & Equipment,Mobile & DTH Recharges,Mobile Recharge,Mobile Services & Subscriptions,Monastery/Temple Donations,Movies & Evens,Movies & Events,OTT & Subscription,OTT & Subscriptions,Official Fees,Online Course Subscription,Online Learning & EdTech,P2P Income,P2P Transfer,Pharmacies-Medicines,Pharmacy,Pharmacy & Medicines,Public Transport,Received Payment,Refund,Rent & Housing Charges,Rent&Housing Charges,Restaurants & Dining,Ride-Hailing,Salon & Grooming,Salon&Grooming,School/College Fees,Street Food,Subscription Services,Tools & Software,Unknown Merchant,Unknown Service,Unknown merchant,Unknown service,Utility Bill Payment,Utility Bill Payments,Vehicle& Services,Vendor/Supplier Payments,Vendor/Supplier Supplies,Wallet Loads & Top-ups
Insurance-Non Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments/Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewelry & Accessories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirana Shops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loan Emi-Non Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loan-Emi-Non Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Travel Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logistics & Courier Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logistics & Delivery Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
